EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,PrecipitationIn, Events,Location
12/20/2014,33,32,30,0,Normal,JC
12/21/2014,36,34,31,T,Snow,JC
12/22/2014,44,40,35,0.04,Rain,JC
12/23/2014,46,45,43,0.16,Rain,JC
12/24/2014,58,51,44,0.8,Rain,JC
12/25/2014,62,53,44,0.09,Rain,JC
12/26/2014,50,45,40,0,Normal,JC
12/27/2014,55,50,44,0,Normal,JC
12/28/2014,54,49,43,0.1,Rain,JC
12/29/2014,44,39,34,0,Normal,JC
12/30/2014,34,31,28,0,Normal,JC
12/31/2014,32,30,27,0,Normal,JC
1/1/2015,39,33,27,0,Normal,JC
1/2/2015,42,39,35,0,Normal,JC
1/3/2015,42,38,33,0.71,Rain-Snow,JC
1/4/2015,56,49,41,0.3,Rain,JC
1/5/2015,49,35,21,0,Normal,JC
1/6/2015,22,21,19,0.05,Snow,JC
1/7/2015,23,16,9,0,Normal,JC
1/8/2015,21,15,8,0,Normal,JC
1/9/2015,33,26,19,0.07,Snow,JC
1/10/2015,23,20,16,0,Normal,JC
1/11/2015,37,28,18,0,Normal,JC
1/12/2015,39,37,35,0.36,Rain,JC
1/13/2015,36,27,17,0,Normal,JC
1/14/2015,32,24,16,0,Normal,JC
1/15/2015,35,30,25,0,Normal,JC
1/16/2015,43,32,20,0,Normal,JC
1/17/2015,32,25,17,0,Normal,JC
1/18/2015,42,37,31,2.1,Fog-Rain,JC
1/19/2015,42,39,36,0,Normal,JC
1/20/2015,40,36,32,0,Normal,JC
1/21/2015,36,31,25,0,Normal,JC
1/22/2015,40,36,31,0,Normal,JC
1/23/2015,39,34,28,0,Normal,JC
1/24/2015,39,36,33,0.72,Fog-Rain-Snow,JC
1/25/2015,42,37,31,0,Normal,JC
1/26/2015,31,27,22,0.48,Fog-Snow,JC
1/27/2015,30,25,20,0.36,Fog-Snow,JC
1/28/2015,34,25,16,0,Normal,JC
1/29/2015,36,28,19,0.02,Snow,JC
1/30/2015,38,29,19,0.06,Snow,JC
1/31/2015,26,20,13,0,Normal,JC
2/1/2015,36,28,20,0.03,Snow,JC
